id,Horodateur,IP,Identifiant,Type,Statut,Ville,Pays,Latitude,Longitude,Operateur
6210,2021-04-13 01:35:51.741137+00,154.126.10.226,razafitsialonina.célestin,Prof,Connexion valide,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6209,2021-04-12 23:58:53.355736+00,154.126.10.221,razafitsialonina.célestin,Prof,Connexion valide,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6208,2021-04-12 21:15:18.183829+00,154.126.10.218,ramandimbison.sariaka,Eleve,Connexion valide,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6207,2021-04-12 20:00:34.36834+00,84.99.193.221,razakambinintsoa_baje.andy_edouard,Eleve,Connexion valide,Chevilly-Larue,France,48.7688,2.3536,SFR SA
6206,2021-04-12 20:00:21.879151+00,84.99.193.221,razakambinintsoa_bajee.laurie,,Deconnexion,Chevilly-Larue,France,48.7688,2.3536,SFR SA
6205,2021-04-12 20:00:21.231424+00,84.99.193.221,razakambinintsoa_bajee.laurie,Eleve,Deconnexion,Chevilly-Larue,France,48.7688,2.3536,SFR SA
6204,2021-04-12 19:55:44.033242+00,154.126.12.186,rakotozafy.mitia,Eleve,Connexion valide,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6203,2021-04-12 19:55:26.555197+00,154.126.12.186,rakotozafy.mitia,,Deconnexion,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6202,2021-04-12 19:55:24.386679+00,154.126.12.186,rakotozafy.mitia,Eleve,Deconnexion,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6201,2021-04-12 19:49:47.926649+00,197.149.45.9,rakotonomenjanahary.ny_aina,Eleve,Connexion valide,Antananarivo,Madagascar,,,Telecom-Malagasy
6200,2021-04-12 19:41:51.253227+00,154.126.12.74,rakotozafy.mitia,Eleve,Connexion valide,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6199,2021-04-12 19:40:11.582224+00,154.126.12.74,rakotozafy.mitia,Eleve,Deconnexion,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6198,2021-04-12 19:37:36.105742+00,154.126.12.74,rakotozafy.mitia,Eleve,Connexion valide,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6197,2021-04-12 19:25:15.711101+00,41.188.51.184,dimbinasolo.sandanirina,Eleve,Connexion valide,Mahajanga,Madagascar,-15.7178,46.316,Telecom-Malagasy
6196,2021-04-12 19:25:15.010101+00,41.188.51.184,dimbinasolo.sandanirina,Eleve,Connexion valide,Mahajanga,Madagascar,-15.7178,46.316,Telecom-Malagasy
6195,2021-04-12 19:12:59.311087+00,154.126.12.118,ratolojanahary.mégane,Eleve,Connexion valide,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6194,2021-04-12 19:04:53.688486+00,197.149.6.150,rakotoharinivo.julienne,Eleve,Deconnexion,Antananarivo,Madagascar,,,Telecom-Malagasy
6193,2021-04-12 19:04:46.124904+00,154.126.113.102,ramiandriray.pierrot,Directeur Pédagogique,Connexion valide,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6192,2021-04-12 19:02:57.870958+00,154.126.113.102,razafimiarinjatovo.priscillia,Eleve,Connexion valide,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6191,2021-04-12 19:02:12.855358+00,154.126.113.102,razafimiarinjatovo.anna_léa,Eleve,Connexion valide,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6190,2021-04-12 19:01:27.499769+00,154.126.113.102,ramiandriray.pierrot,Directeur Pédagogique,Deconnexion,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6189,2021-04-12 19:01:20.070376+00,154.126.113.102,ramiandriray.pierrot,Directeur Pédagogique,Connexion valide,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6188,2021-04-12 18:59:36.630322+00,197.149.6.150,rakotoharinivo.julienne,Eleve,Connexion valide,Antananarivo,Madagascar,,,Telecom-Malagasy
6187,2021-04-12 18:58:49.963373+00,154.126.12.60,randriamanana.lafatra,Eleve,Connexion valide,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6186,2021-04-12 18:53:16.736907+00,197.149.6.150,rakotoharinivo.julienne,Eleve,Connexion valide,Antananarivo,Madagascar,,,Telecom-Malagasy
6185,2021-04-12 18:53:13.56447+00,41.77.19.25,ratolojanahary.megane,,Identifiant 'ratolojanahary.megane' non reconnu: veuillez réessayer. <br> Si vous avez perdu votre identifiant merci de contacter l'Administration de votre établissement.,Antananarivo,Madagascar,,,AIRTELMADA
6184,2021-04-12 18:52:19.351215+00,154.126.12.60,randriamanana.lafatra,Eleve,Connexion valide,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6183,2021-04-12 18:49:03.296888+00,154.126.9.176,razafitsialonina.célestin,Prof,Deconnexion,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6182,2021-04-12 18:47:14.449637+00,197.149.45.9,rakotonomenjanahary.ny_aina,Eleve,Connexion valide,Antananarivo,Madagascar,,,Telecom-Malagasy
6181,2021-04-12 18:47:14.303246+00,41.77.19.25,ratolojanaharymegane,,Identifiant 'ratolojanaharymegane' non reconnu: veuillez réessayer. <br> Si vous avez perdu votre identifiant merci de contacter l'Administration de votre établissement.,Antananarivo,Madagascar,,,AIRTELMADA
6180,2021-04-12 18:47:08.827335+00,41.77.19.25,ratolojanaharymegane,,Identifiant 'ratolojanaharymegane' non reconnu: veuillez réessayer. <br> Si vous avez perdu votre identifiant merci de contacter l'Administration de votre établissement.,Antananarivo,Madagascar,,,AIRTELMADA
6179,2021-04-12 18:46:22.959411+00,41.77.19.25,ratolojanahary.megane,,Identifiant 'ratolojanahary.megane' non reconnu: veuillez réessayer. <br> Si vous avez perdu votre identifiant merci de contacter l'Administration de votre établissement.,Antananarivo,Madagascar,,,AIRTELMADA
6178,2021-04-12 18:45:41.531689+00,41.77.19.25,ratolojanahary.mégane,,Identifiant 'ratolojanahary.mégane' non reconnu: veuillez réessayer. <br> Si vous avez perdu votre identifiant merci de contacter l'Administration de votre établissement.,Antananarivo,Madagascar,,,AIRTELMADA
6177,2021-04-12 18:43:20.391868+00,154.126.11.111,razananirina.amiirah,Eleve,Connexion valide,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6176,2021-04-12 18:37:50.012135+00,154.126.11.31,razananirina.amiirah,Eleve,Connexion valide,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6175,2021-04-12 18:37:09.82887+00,197.149.45.9,rakotonomenjanahary.ny_aina,Eleve,Connexion valide,Antananarivo,Madagascar,,,Telecom-Malagasy
6174,2021-04-12 18:36:22.143323+00,197.149.45.9,rakotonomenajanahary.ny_aina,,Identifiant 'rakotonomenajanahary.ny_aina' non reconnu: veuillez réessayer. <br> Si vous avez perdu votre identifiant merci de contacter l'Administration de votre établissement.,Antananarivo,Madagascar,,,Telecom-Malagasy
6173,2021-04-12 18:35:42.640636+00,197.149.45.9,rakotonomenajanahary.ny_aina,,Identifiant 'rakotonomenajanahary.ny_aina' non reconnu: veuillez réessayer. <br> Si vous avez perdu votre identifiant merci de contacter l'Administration de votre établissement.,Antananarivo,Madagascar,,,Telecom-Malagasy
6172,2021-04-12 18:35:29.896464+00,197.149.45.9,rakotonomenajanahary.ny_aina,,Identifiant 'rakotonomenajanahary.ny_aina' non reconnu: veuillez réessayer. <br> Si vous avez perdu votre identifiant merci de contacter l'Administration de votre établissement.,Antananarivo,Madagascar,,,Telecom-Malagasy
6171,2021-04-12 18:35:20.265663+00,197.149.45.9,rakotonomenajanahary.ny_aina,,Identifiant 'rakotonomenajanahary.ny_aina' non reconnu: veuillez réessayer. <br> Si vous avez perdu votre identifiant merci de contacter l'Administration de votre établissement.,Antananarivo,Madagascar,,,Telecom-Malagasy
6170,2021-04-12 18:31:19.600967+00,154.126.12.222,ravelomihary.elio,,Identifiant 'ravelomihary.elio' non reconnu: veuillez réessayer. <br> Si vous avez perdu votre identifiant merci de contacter l'Administration de votre établissement.,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6169,2021-04-12 18:30:14.227319+00,154.126.12.222,ravelomihary.loan,,Deconnexion,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6168,2021-04-12 18:29:06.912206+00,154.126.12.222,ravelomihary.loan,,Deconnexion,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6167,2021-04-12 18:29:06.12062+00,154.126.12.222,ravelomihary.loan,,Deconnexion,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6166,2021-04-12 18:29:05.019105+00,154.126.12.222,ravelomihary.loan,Eleve,Deconnexion,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6165,2021-04-12 18:27:06.657014+00,41.77.17.6,ratremaharisamba.mirajo,Eleve,Connexion valide,Antananarivo,Madagascar,,,AIRTELMADA
6164,2021-04-12 18:21:32.155506+00,154.126.113.102,ramiandriray.pierrot,Directeur Pédagogique,Connexion valide,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6163,2021-04-12 18:18:10.148662+00,41.77.17.6,ratremaharisamba.mirajo,Eleve,Connexion valide,Antananarivo,Madagascar,,,AIRTELMADA
6162,2021-04-12 18:17:58.483125+00,154.126.11.182,razananirina.amiirah,Eleve,Connexion valide,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6161,2021-04-12 18:16:19.562329+00,197.158.119.135,raharijaona.anay,Eleve,Deconnexion,Antananarivo,Madagascar,,,Gulfsat Autonomous System
6160,2021-04-12 18:15:01.809028+00,154.126.12.6,randriamanana.lafatra,Eleve,Connexion valide,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6159,2021-04-12 18:14:42.177399+00,154.126.10.100,diallo.cellou,Eleve,Connexion valide,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6158,2021-04-12 18:14:23.26741+00,197.158.119.135,raharijaona.anay,Eleve,Connexion valide,Antananarivo,Madagascar,,,Gulfsat Autonomous System
6157,2021-04-12 18:13:56.267494+00,197.158.119.135,raharijaona.anay,Eleve,Connexion valide,Antananarivo,Madagascar,,,Gulfsat Autonomous System
6156,2021-04-12 18:11:57.39728+00,197.158.119.135,raharijaona.anay,Eleve,Deconnexion,Antananarivo,Madagascar,,,Gulfsat Autonomous System
6155,2021-04-12 18:11:23.572288+00,197.158.119.135,raharijaona.anay,Eleve,Connexion valide,Antananarivo,Madagascar,,,Gulfsat Autonomous System
6154,2021-04-12 18:10:22.511376+00,154.126.12.60,randriamanana.lafatra,Eleve,Connexion valide,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6153,2021-04-12 18:09:11.328331+00,154.126.10.100,diallo.cellou,Eleve,Connexion valide,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6152,2021-04-12 18:08:58.937993+00,197.149.37.158,andriamaroson.mirantsoa,Eleve,Connexion valide,Antananarivo,Madagascar,,,Telecom-Malagasy
6151,2021-04-12 18:08:49.698391+00,154.126.10.100,diallo.cellou,Eleve,Connexion valide,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6150,2021-04-12 18:06:18.003128+00,154.126.12.248,ravelomihary.loan,Eleve,Connexion valide,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6149,2021-04-12 18:06:01.179352+00,154.126.10.100,diallo.cellou,Eleve,Connexion valide,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6148,2021-04-12 18:05:56.364717+00,154.126.12.239,ramiandrisoa.angelo,Eleve,Connexion valide,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6147,2021-04-12 18:05:40.249729+00,154.126.10.100,diallo.cellou,,Deconnexion,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6146,2021-04-12 18:05:36.984481+00,154.126.10.100,diallo.cellou,,Deconnexion,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6145,2021-04-12 18:05:33.279581+00,154.126.10.100,diallo.cellou,Eleve,Deconnexion,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6144,2021-04-12 18:05:21.576161+00,154.126.12.248,ravelomihary.ilan,Eleve,Deconnexion,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6143,2021-04-12 18:02:44.439411+00,84.99.193.221,razakambinintsoa_bajee.laurie,Eleve,Connexion valide,Chevilly-Larue,France,48.7688,2.3536,SFR SA
6142,2021-04-12 18:02:24.139961+00,84.99.193.221,razakambinintsoa_bajee.laurie_christelle,Eleve,Identifiant 'razakambinintsoa_bajee.laurie_christelle' non reconnu: veuillez réessayer. <br> Si vous avez perdu votre identifiant merci de contacter l'Administration de votre établissement.,Chevilly-Larue,France,48.7688,2.3536,SFR SA
6141,2021-04-12 18:01:09.073647+00,154.126.12.60,randriamanana.lafatra,Eleve,Connexion valide,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6140,2021-04-12 18:00:15.423341+00,154.126.12.60,randriamanana.lafatra,Eleve,Connexion valide,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6139,2021-04-12 17:59:49.120043+00,197.149.37.158,andriamaroson.mirantsoa,Eleve,Connexion valide,Antananarivo,Madagascar,,,Telecom-Malagasy
6138,2021-04-12 17:57:55.375169+00,154.126.12.60,randriamanana.lafatra,Eleve,Connexion valide,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6137,2021-04-12 17:57:48.468078+00,154.126.12.60,randriamanana.lafatra,Eleve,L'identifiant et le code d'accès ne peuvent pas être vides pour vous connecter.,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6136,2021-04-12 17:57:46.983061+00,154.126.12.60,randriamanana.lafatra,Eleve,L'identifiant et le code d'accès ne peuvent pas être vides pour vous connecter.,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
6135,2021-04-12 17:57:42.180242+00,154.126.12.60,randriamanana.lafatra,Eleve,L'identifiant et le code d'accès ne peuvent pas être vides pour vous connecter.,Ambodirano,Madagascar,-20.25,47.4833,Telecom-Malagasy
